2005FB63AC1F3681AB1004E3,42,-64.5,-52.0,-59.42857142857143,1581078328335756,1581078376603691,48267935,-0.05252830140243306,14,5,14,9
2005FB63AC1F3681AB10052A,1,-60.5,-60.5,-60.5,1581078906626425,1581078906626425,0,-0.0,0,1,0,0
2005FB63AC1F3681AB1005CE,5,-62.5,-57.0,-59.0,1581078374894251,1581078908512075,533617824,-0.03303998082986089,0,2,3,0
2005FB63CE453265E5C61473,8,-60.0,-54.5,-57.125,1581078329903802,1581078906353944,576450142,-0.036810949324421714,0,5,2,1
2005FB63EAC13681E4EC0F4B,54,-62.5,-51.0,-57.074074074074076,1581078328604192,1581078906958128,578353936,-0.04878852031494351,7,10,14,23
2005FB63EAC13681E4EC0F4C,47,-62.5,-52.0,-57.88297872340426,1581078329046078,1581078908006317,578960239,-0.049772760342563734,2,11,21,13
2005FB63EAC13681E4EC0F4F,34,-63.0,-51.5,-55.64705882352941,1581078329247532,1581078907977827,578730295,-0.05480796672415385,0,10,16,8
2005FB63EAC13681E4EC0F50,34,-62.5,-51.5,-56.23529411764706,1581078329266548,1581078906947137,577680589,-0.05396415027163228,0,13,14,7
2005FB63EAC13681E4EC0FE8,8,-60.0,-55.0,-56.75,1581078329111376,1581078907746183,578634807,-0.028549518495188813,3,0,5,0
2005FB63EAC13681E4EC0FE9,5,-58.0,-55.5,-56.8,1581078329705348,1581078375415121,45709773,-0.018961847912445436,5,0,0,0
2005FB63EAC13681E4EC0FEA,6,-59.5,-56.5,-58.083333333333336,1581078329104637,1581078907727012,578622375,-0.018204558881563155,3,0,3,0
2005FB63EAC13681E4EC0FEC,7,-59.5,-55.5,-57.285714285714285,1581078328471923,1581078375410659,46938736,-0.027146559921542694,5,0,2,0
2005FB63EAC13681E5C6027B,37,-62.0,-51.5,-56.54054054054054,1581078376139316,1581078907965542,531826226,-0.054021641279490114,11,4,4,18
2005FB63EAC13681E5C6028D,17,-62.0,-55.5,-58.14705882352941,1581078328615860,1581078376091244,47475384,-0.03436578199587866,0,7,3,7
2005FB63EAC13681E5C602A1,32,-62.0,-54.0,-57.390625,1581078329709635,1581078907328487,577618852,-0.036101525993544076,12,6,8,6
245390003868,228,-67.0,-62.0,-64.65789473684211,1581078265872405,1581078911655555,645783150,-0.015493659647526956,0,4,223,1
300000000000000000017857,9,-61.0,-57.5,-59.611111111111114,1581078376790558,1581078910234489,533443931,-0.02046085591808029,0,9,0,0
30000000000000000001785C,284,-58.5,-47.5,-51.973591549295776,1581078900135890,1581078911965232,11829342,-0.05041748642735639,47,79,80,78
300000000000000000017867,10,-61.5,-58.0,-60.2,1581078368833788,1581078371885960,3052172,-0.023550576210561173,0,10,0,0
30000000000000000001786A,13,-60.0,-56.0,-57.61538461538461,1581078369969486,1581078371393914,1424428,-0.0231248438927754,0,13,0,0
300000000000000000017885,19,-56.0,-53.0,-55.10526315789474,1581078902609464,1581078911609364,8999900,-0.01367509175098028,0,19,0,0
3000000000000000000178BE,4,-60.5,-57.5,-58.875,1581078371117608,1581078371409646,292038,-0.02354678663781193,0,4,0,0
3005FB63AC1F3681EC880468,149,-64.0,-51.0,-58.38926174496644,1581078328895242,1581078907776253,578881011,-0.04150101832960218,22,50,45,32
3005FB63AC1F3681EC881166,26,-61.0,-54.0,-57.0,1581078329716883,1581078907341978,577625095,-0.03633087888251499,4,6,8,8
3005FB63AC1F3681EC8811B0,55,-67.0,-51.5,-57.22727272727273,1581078329001371,1581078907308423,578307052,-0.05830911105010116,19,13,9,14
3005FB63AC1F3681EC8811B5,6,-59.0,-54.5,-57.083333333333336,1581078329882252,1581078376200506,46318254,-0.02599196177337935,0,6,0,0
3005FB63AC1F3681EC8812B7,2,-60.5,-60.5,-60.5,1581078908186708,1581078908222717,36009,-0.0,0,0,2,0
3005FB63AC1F3681EC8812DB,41,-61.5,-50.5,-56.573170731707314,1581078328188666,1581078908540702,580352036,-0.05047229643681757,4,19,15,3
3005FB63AC1F3681EC881316,26,-62.5,-54.0,-57.73076923076923,1581078329580611,1581078907785060,578204449,-0.03499412654675255,0,4,9,13
3005FB63AC1F3681EC881317,28,-62.5,-54.5,-59.410714285714285,1581078904740947,1581078907545699,2804752,-0.039987252381507916,5,4,11,8
3005FB63AC1F3681EC881318,83,-63.5,-50.5,-57.37951807228916,1581078328732413,1581078908317330,579584917,-0.050040979066930225,4,29,35,15
3005FB63AC1F3681EC88131E,28,-60.5,-53.5,-56.910714285714285,1581078329386204,1581078907324454,577938250,-0.03115547448978111,0,6,11,11
3005FB63AC1F3681EC88132C,20,-62.5,-55.5,-58.025,1581078329719202,1581078907204632,577485430,-0.035052665628852314,5,6,4,5
3005FB63AC1F3681EC88134B,4,-62.5,-60.5,-61.375,1581078376008154,1581078376721579,713425,-0.014544660750596437,4,0,0,0
3005FB63AC1F3681EC881378,14,-61.5,-57.0,-59.464285714285715,1581078905835984,1581078907129582,1293598,-0.023880955377863115,4,2,4,4
3005FB63AC1F3681EC8813AD,12,-59.5,-54.5,-57.125,1581078329164732,1581078907558824,578394092,-0.03158371275654408,5,7,0,0
3005FB63AC1F3681EC8813AE,6,-54.5,-52.5,-53.583333333333336,1581078905532819,1581078906512385,979566,-0.012538503496576281,6,0,0,0
3005FB63AC1F3681EC88141F,13,-61.0,-54.0,-57.65384615384615,1581078329033262,1581078377159197,48125935,-0.043745420442308204,0,11,0,2
3005FB63AC1F3681EC881448,2,-58.5,-58.0,-58.25,1581078329869500,1581078329967092,97592,-0.004291845493562232,0,2,0,0
