RC,MIN,MAX,MEAN,START,END,DURATION,CV,A1,A2,A3,A4,IS_FP
78,-67.0,-53.5,-60.044871794871796,1581079349651158,1581079423859847,74208689,-0.059335521065544725,28,6,16,28,0
33,-64.0,-55.5,-59.13636363636363,1581079350176590,1581079422506338,72329748,-0.04148755034155525,3,7,14,9,0
57,-69.0,-54.0,-60.868421052631575,1581079348977548,1581079422909033,73931485,-0.06190353080805326,4,16,22,15,0
12,-61.5,-55.5,-57.66666666666666,1581079351521444,1581079422688741,71167297,-0.02926077562328987,10,2,0,0,0
21,-66.0,-54.5,-58.92857142857143,1581079350464190,1581079423568763,73104573,-0.050995597498091225,15,3,0,3,0
61,-68.0,-53.5,-60.32786885245902,1581079349028840,1581079422879917,73851077,-0.05146175248023025,17,15,18,11,0
35,-70.5,-55.0,-62.25714285714286,1581079349091955,1581079423416137,74324182,-0.051812941065678325,15,13,3,4,0
34,-70.0,-58.5,-64.14705882352939,1581079349230884,1581079422899571,73668687,-0.050815541790402215,17,10,5,2,0
15,-65.5,-57.0,-59.56666666666667,1581079350201256,1581079423174640,72973384,-0.0325625887542835,2,0,4,9,1
9,-63.0,-56.0,-59.0,1581079350893046,1581079422319903,71426857,-0.039949535660256934,1,7,1,0,0
41,-67.0,-52.0,-59.78048780487804,1581079350382672,1581079423836839,73454167,-0.06835071793749295,20,12,2,7,0
10,-65.0,-56.5,-59.95,1581079350863821,1581079395619888,44756067,-0.0416095735888788,4,6,0,0,0
24,-69.5,-57.0,-62.0,1581079351526401,1581079423760036,72233635,-0.045797647950002206,10,7,0,7,0
14,-65.5,-57.5,-62.92857142857143,1581079349139663,1581079422737342,73597679,-0.03676307546129772,8,2,2,2,1
26,-66.0,-54.5,-60.5,1581079349805232,1581079422726839,72921607,-0.04379145606940756,17,9,0,0,1
23,-66.0,-58.0,-62.5,1581079350395568,1581079422567535,72171967,-0.03677428212877794,2,3,8,10,1
60,-68.5,-56.0,-60.85,1581079348886244,1581079422804875,73918631,-0.041392981493359016,13,14,21,12,0
4,-56.5,-52.0,-53.875,1581079350897931,1581079422071190,71173259,-0.03034036387615318,0,4,0,0,0
3,-59.5,-59.0,-59.16666666666666,1581079350597992,1581079350916392,318400,-0.003983700175698861,2,1,0,0,0
13,-66.5,-52.0,-57.615384615384606,1581079350253921,1581079421847420,71593499,-0.07133180373575082,9,2,1,1,0
30,-62.0,-54.0,-58.13333333333333,1581079349263926,1581079422398790,73134864,-0.03800874637425815,16,6,8,0,0
28,-68.0,-55.5,-59.92857142857143,1581079349993726,1581079422878565,72884839,-0.044075952531825016,2,17,9,0,0
24,-69.5,-53.5,-61.75,1581079349972441,1581079422114325,72141884,-0.056487043283283,2,14,8,0,0
41,-67.0,-54.0,-59.634146341463406,1581079348429234,1581079422593970,74164736,-0.06208489266371221,7,13,11,10,0
35,-63.5,-52.5,-59.05714285714286,1581079347395521,1581079422378417,74982896,-0.0457842986524276,12,5,18,0,0
