Timestamp, EPC, Antenna, RSSI, Channel, Address
1581078265872405,245390003868,3,-64.5,865.7,192.168.0.10
1581078266089314,245390003868,3,-65,865.7,192.168.0.10
1581078266115202,245390003868,3,-65.5,865.7,192.168.0.10
1581078266303350,245390003868,3,-65,865.7,192.168.0.10
1581078266326629,245390003868,3,-65,865.7,192.168.0.10
1581078266748184,245390003868,3,-65.5,865.7,192.168.0.10
1581078266960855,245390003868,3,-64.5,865.7,192.168.0.10
1581078266982796,245390003868,3,-65,865.7,192.168.0.10
1581078267158578,245390003868,3,-64.5,865.7,192.168.0.10
1581078267177493,245390003868,3,-64.5,865.7,192.168.0.10
1581078267357622,245390003868,3,-65,865.7,192.168.0.10
1581078267377247,245390003868,3,-64.5,865.7,192.168.0.10
1581078267566651,245390003868,3,-64.5,865.7,192.168.0.10
1581078267595274,245390003868,3,-64.5,865.7,192.168.0.10
1581078267773504,245390003868,3,-64.5,865.7,192.168.0.10
1581078267796089,245390003868,3,-64.5,865.7,192.168.0.10
1581078268096605,245390003868,3,-64,865.7,192.168.0.10
1581078268127882,245390003868,3,-64,865.7,192.168.0.10
1581078268312786,245390003868,3,-63.5,865.7,192.168.0.10
1581078268340193,245390003868,3,-64,865.7,192.168.0.10
1581078268518993,245390003868,3,-63.5,865.7,192.168.0.10
1581078268544684,245390003868,3,-63.5,865.7,192.168.0.10
1581078268734463,245390003868,3,-63.5,865.7,192.168.0.10
1581078268757904,245390003868,3,-64,865.7,192.168.0.10
1581078268957633,245390003868,3,-64,865.7,192.168.0.10
1581078268985989,245390003868,3,-64,865.7,192.168.0.10
1581078269184059,245390003868,3,-64,865.7,192.168.0.10
1581078269204543,245390003868,3,-63.5,865.7,192.168.0.10
1581078269391457,245390003868,3,-64,865.7,192.168.0.10
1581078269415361,245390003868,3,-63.5,865.7,192.168.0.10
1581078269614819,245390003868,3,-64.5,865.7,192.168.0.10
1581078269637306,245390003868,3,-64,865.7,192.168.0.10
1581078269817268,245390003868,3,-64.5,865.7,192.168.0.10
1581078269836784,245390003868,3,-64.5,865.7,192.168.0.10
1581078270031273,245390003868,3,-64,865.7,192.168.0.10
1581078270054732,245390003868,3,-64,865.7,192.168.0.10
1581078270233719,245390003868,3,-63.5,865.7,192.168.0.10
1581078270258741,245390003868,3,-63.5,865.7,192.168.0.10
1581078270448521,245390003868,3,-64,865.7,192.168.0.10
1581078270466877,245390003868,3,-63.5,865.7,192.168.0.10
1581078270662973,245390003868,3,-64,865.7,192.168.0.10
1581078270685609,245390003868,3,-64,865.7,192.168.0.10
1581078270872772,245390003868,3,-63.5,865.7,192.168.0.10
1581078270892249,245390003868,3,-63.5,865.7,192.168.0.10
1581078271091630,245390003868,3,-64,865.7,192.168.0.10
1581078271112723,245390003868,3,-63.5,865.7,192.168.0.10
1581078271306308,245390003868,3,-63.5,865.7,192.168.0.10
1581078271326867,245390003868,3,-64,865.7,192.168.0.10
