Timestamp, EPC, Antenna, RSSI, Channel, Address
1579097579071616,245390003869,3,-64,865.7,192.168.0.10
1579097579131213,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097580688872,245390003869,3,-74.5,865.7,192.168.0.10
1579097580738181,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097581259286,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097581510342,245390003869,4,-71.5,865.7,192.168.0.10
1579097581772247,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097582059455,E28068940000500640E060E8,4,-74.5,865.7,192.168.0.10
1579097582195539,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097582487514,245390003869,4,-74,865.7,192.168.0.10
1579097582634859,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097583027542,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097583430435,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097583460593,245390003869,1,-73.5,865.7,192.168.0.10
1579097583842055,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097584116524,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097584240608,E2806E8F00000039005E0E4D,4,-70,865.7,192.168.0.10
1579097584332149,245390003869,3,-67,865.7,192.168.0.10
1579097584381822,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097584517177,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097584795474,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097584934015,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097585062456,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097585202056,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097585340455,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097585478108,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097585613835,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097585774808,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097585919453,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097586012892,245390003869,3,-70,865.7,192.168.0.10
1579097586190450,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097586462887,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097586852439,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097586938977,245390003869,3,-69.5,865.7,192.168.0.10
1579097586990038,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097587135434,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097587282594,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097587419141,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097587712286,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097587852862,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097587873386,245390003869,1,-71.5,865.7,192.168.0.10
1579097587985849,E2806E8F00000039005E0E4D,4,-68.5,865.7,192.168.0.10
1579097588253564,E2806E8F00000039005E0E4D,4,-69.5,865.7,192.168.0.10
1579097588396400,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097588531423,E2806E8F00000039005E0E4D,4,-69,865.7,192.168.0.10
1579097588599073,245390003869,2,-69.5,865.7,192.168.0.10
1579097588679497,E28068940000500640E060E8,4,-75,865.7,192.168.0.10
