Timestamp, EPC, Antenna, RSSI, Channel, Address
1579700550198342,245390003868,3,-62,865.7,192.168.0.10
1579700550200321,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579700550215031,300000000000000000017861,3,-63,865.7,192.168.0.10
1579700550242315,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700550245637,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700550247272,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700550267881,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700550268974,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700550272494,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700550302150,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700550320559,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700550340467,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700550352069,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700550376086,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700550400182,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700550433824,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579700550437371,245390003868,3,-61.5,865.7,192.168.0.10
1579700550448466,300000000000000000017861,3,-65,865.7,192.168.0.10
1579700550474635,245390003868,3,-62,865.7,192.168.0.10
1579700550475774,30000000000000000001785C,3,-54.5,865.7,192.168.0.10
1579700550496115,300000000000000000017861,3,-65,865.7,192.168.0.10
1579700550522333,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579700550524533,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700550527115,30000000000000000001785D,4,-61.5,865.7,192.168.0.10
1579700550552678,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700550556250,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700550557465,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700550592418,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700550601986,300000000000000000017882,1,-62,865.7,192.168.0.10
1579700550620180,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700550640879,300000000000000000017882,1,-61.5,865.7,192.168.0.10
1579700550670059,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700550697891,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700550733799,245390003868,3,-62,865.7,192.168.0.10
1579700550755253,300000000000000000017861,3,-65,865.7,192.168.0.10
1579700550764861,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700550784032,245390003868,3,-62.5,865.7,192.168.0.10
1579700550802543,300000000000000000017861,3,-64.5,865.7,192.168.0.10
1579700550812150,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700550836862,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700550840136,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700550841503,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700550868364,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700550869872,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700550871905,300000000000000000017857,4,-57.5,865.7,192.168.0.10
1579700550904571,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700550932664,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700550959791,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700550987076,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700551027695,245390003868,3,-62.5,865.7,192.168.0.10
1579700551039668,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700551061310,245390003868,3,-62,865.7,192.168.0.10
1579700551078331,30000000000000000001785C,3,-56,865.7,192.168.0.10
1579700551110123,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700551112110,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700551113191,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700551133415,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700551135653,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700551137045,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700551171702,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700551196419,300000000000000000017859,1,-54.5,865.7,192.168.0.10
1579700551224312,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700551252375,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700551278634,245390003868,3,-62,865.7,192.168.0.10
1579700551284817,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700551309332,245390003868,3,-62,865.7,192.168.0.10
1579700551311870,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700551345715,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700551348275,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700551349413,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700551377142,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700551378298,300000000000000000017882,4,-57.5,865.7,192.168.0.10
1579700551381743,30000000000000000001785D,4,-60.5,865.7,192.168.0.10
1579700551418915,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700551436748,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579700551458489,300000000000000000017859,1,-54.5,865.7,192.168.0.10
1579700551508539,300000000000000000017882,2,-55,865.7,192.168.0.10
1579700551538677,245390003868,3,-62,865.7,192.168.0.10
1579700551540657,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700551567250,245390003868,3,-62,865.7,192.168.0.10
1579700551571240,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700551605613,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700551607563,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700551608673,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700551633256,300000000000000000017857,4,-57,865.7,192.168.0.10
1579700551636220,30000000000000000001785D,4,-61,865.7,192.168.0.10
1579700551638447,300000000000000000017882,4,-58,865.7,192.168.0.10
1579700551674502,300000000000000000017859,1,-54.5,865.7,192.168.0.10
1579700551689604,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700551700258,300000000000000000017859,1,-55,865.7,192.168.0.10
1579700551716442,300000000000000000017882,1,-63,865.7,192.168.0.10
1579700551735064,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700551763416,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579700551798966,245390003868,3,-61.5,865.7,192.168.0.10
1579700551801201,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700551826962,245390003868,3,-62,865.7,192.168.0.10
1579700551830997,30000000000000000001785C,3,-55,865.7,192.168.0.10
1579700551863873,30000000000000000001785D,4,-61,865.7,192.168.0.10
