Timestamp, EPC, Antenna, RSSI, Channel, Address
1579697396039834,245390003869,1,-59,865.7,192.168.0.10
1579697396042993,245390003868,1,-61,865.7,192.168.0.10
1579697396064248,300000000000000000017882,1,-62,865.7,192.168.0.10
1579697396082709,245390003868,1,-61,865.7,192.168.0.10
1579697396086037,245390003869,1,-59.5,865.7,192.168.0.10
1579697396101304,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697396120970,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697396138411,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697396178716,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697396180086,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697396204435,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697396215487,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697396216868,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697396231156,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697396263523,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697396264647,300000000000000000017882,4,-59,865.7,192.168.0.10
1579697396295032,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697396296146,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579697396326524,245390003868,1,-61,865.7,192.168.0.10
1579697396328103,245390003869,1,-59.5,865.7,192.168.0.10
1579697396349545,300000000000000000017882,1,-62,865.7,192.168.0.10
1579697396364763,245390003868,1,-61,865.7,192.168.0.10
1579697396366828,245390003869,1,-59,865.7,192.168.0.10
1579697396389035,300000000000000000017882,1,-62,865.7,192.168.0.10
1579697396413874,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697396436995,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697396473452,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697396475424,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697396493395,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697396514977,30000000000000000001785A,3,-54,865.7,192.168.0.10
1579697396516429,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697396535547,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697396560446,300000000000000000017882,4,-59,865.7,192.168.0.10
1579697396563605,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697396591147,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697396594467,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579697396621783,245390003869,1,-59.5,865.7,192.168.0.10
1579697396624341,245390003868,1,-61,865.7,192.168.0.10
1579697396632096,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697396651075,245390003868,1,-60,865.7,192.168.0.10
1579697396653866,245390003869,1,-59.5,865.7,192.168.0.10
1579697396664000,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697396688498,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697396716811,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697396748748,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697396752537,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697396775525,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697396793709,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697396794825,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697396811033,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697396839752,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697396842401,300000000000000000017882,4,-59,865.7,192.168.0.10
1579697396871397,300000000000000000017882,4,-59,865.7,192.168.0.10
1579697396872732,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697396905522,245390003869,1,-59.5,865.7,192.168.0.10
1579697396908500,245390003868,1,-61,865.7,192.168.0.10
1579697396930557,300000000000000000017882,1,-62,865.7,192.168.0.10
1579697396945284,245390003868,1,-60.5,865.7,192.168.0.10
1579697396949842,245390003869,1,-59,865.7,192.168.0.10
1579697396962891,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697396984146,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697397010678,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697397041520,30000000000000000001785C,3,-54,865.7,192.168.0.10
1579697397046037,30000000000000000001785A,3,-54,865.7,192.168.0.10
1579697397066703,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697397084466,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697397086409,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697397098048,300000000000000000017882,3,-62,865.7,192.168.0.10
1579697397130065,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579697397133669,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697397159649,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579697397162284,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697397190016,245390003869,1,-59.5,865.7,192.168.0.10
1579697397191589,245390003868,1,-60.5,865.7,192.168.0.10
1579697397217839,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697397229844,245390003869,1,-59.5,865.7,192.168.0.10
1579697397231094,245390003868,1,-60.5,865.7,192.168.0.10
1579697397244683,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697397269286,300000000000000000017882,2,-56,865.7,192.168.0.10
1579697397288166,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697397325138,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697397326250,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697397341658,300000000000000000017882,3,-62,865.7,192.168.0.10
1579697397364338,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697397369722,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697397387274,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697397412168,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697397416172,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579697397445118,300000000000000000017882,4,-58.5,865.7,192.168.0.10
1579697397446285,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697397482463,245390003869,1,-59.5,865.7,192.168.0.10
1579697397484278,245390003868,1,-60.5,865.7,192.168.0.10
1579697397500235,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697397510610,245390003869,1,-60,865.7,192.168.0.10
1579697397514880,245390003868,1,-60.5,865.7,192.168.0.10
1579697397521840,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697397545289,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697397566766,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697397607220,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697397608316,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697397626426,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697397648505,30000000000000000001785A,3,-53.5,865.7,192.168.0.10
1579697397649601,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697397667081,300000000000000000017882,3,-62.5,865.7,192.168.0.10
1579697397695089,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697397697882,300000000000000000017882,4,-59,865.7,192.168.0.10
1579697397714726,300000000000000000017857,4,-58,865.7,192.168.0.10
1579697397719598,300000000000000000017882,4,-59,865.7,192.168.0.10
1579697397751512,245390003869,1,-59.5,865.7,192.168.0.10
1579697397757195,245390003868,1,-60.5,865.7,192.168.0.10
1579697397764355,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697397782061,245390003868,1,-61,865.7,192.168.0.10
1579697397785879,245390003869,1,-59.5,865.7,192.168.0.10
1579697397798471,300000000000000000017882,1,-62.5,865.7,192.168.0.10
1579697397821616,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697397841060,300000000000000000017882,2,-55.5,865.7,192.168.0.10
1579697397878859,30000000000000000001785A,3,-54,865.7,192.168.0.10
1579697397880796,30000000000000000001785C,3,-53.5,865.7,192.168.0.10
1579697397895190,300000000000000000017882,3,-62.5,865.7,192.168.0.10
